Ad_ID,Ad_Type,Visual_Complexity,Clicks,Time_Spent,Engagement_Score,Age_Group,Gender,Device_Type,CTR,Conversion_Rate,Bounce_Rate,Frame_Data,User_Movement_Data,Age_Group_Numeric,Movement_Numeric,Visual_Complexity_Numeric,Ad_Type_Numeric
16,AR,High,183,25,69,35-44,Male,Desktop,5.735053547182797,1.468181918822424,22.276422730870195,frame_sequence_15,movement_pattern_15,2,1,0,2
17,2D,Low,175,27,78,25-34,Female,Mobile,5.895766451095794,1.634650255689997,17.46807921226938,frame_sequence_16,movement_pattern_16,1,3,1,0
18,AR,Low,315,54,87,35-44,Male,Mobile,5.319934880242216,0.6525735625242396,20.317866941315792,frame_sequence_17,movement_pattern_17,2,0,1,2
19,2D,High,88,46,80,18-24,Male,Desktop,5.810379388341091,0.7449811774869635,21.82586931072341,frame_sequence_18,movement_pattern_18,0,4,0,0
20,2D,High,189,43,73,45-54,Male,Mobile,5.4189069148219575,0.7960460459246995,19.67856681648187,frame_sequence_19,movement_pattern_19,3,1,0,0
21,2D,Medium,177,41,82,35-44,Female,Desktop,5.928716807090919,0.710876093778335,20.667669938561364,frame_sequence_20,movement_pattern_20,2,0,2,0
22,2D,High,110,13,80,55+,Male,Mobile,5.459678827581447,0.4033168084542774,20.847600384009535,frame_sequence_21,movement_pattern_21,4,3,0,0
23,AR,Medium,254,11,84,45-54,Female,Mobile,5.820956626765529,1.540484478640343,17.852056898421267,frame_sequence_22,movement_pattern_22,3,1,2,2
24,3D,Medium,100,6,85,35-44,Female,Mobile,6.248915650590456,2.4923206661041815,20.88350517700878,frame_sequence_23,movement_pattern_23,2,2,2,1
25,AR,Medium,166,30,70,25-34,Male,Desktop,5.2419451855514865,1.593343359138721,18.981750932349307,frame_sequence_24,movement_pattern_24,1,1,2,2
26,AR,Low,141,58,81,35-44,Male,Desktop,6.006920195328942,0.03355027887813885,21.38591625698138,frame_sequence_25,movement_pattern_25,2,0,1,2
27,2D,High,249,7,79,25-34,Female,Mobile,5.619130001469484,1.2172761959973792,18.44612979824629,frame_sequence_26,movement_pattern_26,1,0,0,0
28,3D,High,167,4,73,55+,Male,Mobile,5.710287014631026,5.127112364452795,18.91352629356122,frame_sequence_27,movement_pattern_27,4,0,0,1
29,3D,High,56,50,79,35-44,Female,Mobile,5.663272896047239,5.3357655503565145,19.919392369421455,frame_sequence_28,movement_pattern_28,2,1,0,1
30,AR,Low,89,14,79,55+,Female,Desktop,5.535173203541866,1.1629817628553598,22.4626873873288,frame_sequence_29,movement_pattern_29,4,2,1,2
31,AR,High,276,14,73,25-34,Male,Desktop,5.370162065103544,4.711405551266553,19.65002409449785,frame_sequence_30,movement_pattern_30,1,2,0,2
32,3D,Low,76,8,81,45-54,Male,Mobile,6.129886143459823,0.5655102010456724,18.387309173005924,frame_sequence_31,movement_pattern_31,3,0,1,1
33,AR,High,153,46,81,25-34,Female,Mobile,5.689265237420452,2.0569258079367403,18.621846358379344,frame_sequence_32,movement_pattern_32,1,0,0,2
34,3D,High,300,15,73,55+,Male,Desktop,5.936407272280103,3.0852180613670925,23.665616959788466,frame_sequence_33,movement_pattern_33,4,0,0,1
35,3D,Medium,127,60,81,45-54,Female,Desktop,5.6035140932909995,2.0899582001827652,23.95047816321724,frame_sequence_34,movement_pattern_34,3,2,2,1
36,3D,Medium,96,39,81,35-44,Female,Desktop,6.406178141224977,0.8689372466279802,20.661350113761305,frame_sequence_35,movement_pattern_35,2,4,2,1
37,2D,High,125,39,69,18-24,Male,Mobile,5.693528353579963,2.4285417849959146,23.50155562939736,frame_sequence_36,movement_pattern_36,0,0,0,0
38,2D,Medium,81,17,75,35-44,Male,Desktop,5.943484593076366,2.7411854477806816,18.99100442106881,frame_sequence_37,movement_pattern_37,2,1,2,0
39,2D,Medium,93,28,78,35-44,Male,Mobile,5.96912802585241,1.1357722979680454,19.384515177172432,frame_sequence_38,movement_pattern_38,2,3,2,0
40,3D,High,163,46,79,18-24,Male,Mobile,5.548767125558656,0.4888743449862748,16.643454509839042,frame_sequence_39,movement_pattern_39,0,3,0,1
41,2D,High,315,35,75,35-44,Female,Desktop,5.89579935572283,5.707356274329054,21.610634302001046,frame_sequence_40,movement_pattern_40,2,4,0,0
42,2D,High,59,39,69,25-34,Male,Mobile,5.94793481784989,3.6235412216621716,19.837050794778236,frame_sequence_41,movement_pattern_41,1,1,0,0
43,3D,Medium,180,25,71,35-44,Male,Tablet,5.922528669113596,5.811955369663294,22.199157054219917,frame_sequence_42,movement_pattern_42,2,3,2,1
44,3D,Medium,315,26,75,35-44,Female,Desktop,6.10211439932125,2.2324498394079453,19.992222678316985,frame_sequence_43,movement_pattern_43,2,0,2,1
45,3D,Medium,180,14,82,45-54,Male,Tablet,5.6647476946795585,0.7884410662569354,23.365723748844726,frame_sequence_44,movement_pattern_44,3,1,2,1
46,2D,Medium,153,14,82,18-24,Male,Mobile,5.5827058622312675,1.1641512090800685,21.40773462714909,frame_sequence_45,movement_pattern_45,0,2,2,0
47,3D,High,139,18,69,35-44,Male,Mobile,5.738707100415672,11.65800157350872,21.064793448713814,frame_sequence_46,movement_pattern_46,2,0,0,1
48,3D,Medium,83,39,83,35-44,Female,Mobile,5.933440448705067,0.1974454401678771,22.14498673641461,frame_sequence_47,movement_pattern_47,2,0,2,1
49,2D,High,117,63,79,18-24,Female,Desktop,6.7471573518899834,3.2021909965638673,18.244807484564824,frame_sequence_48,movement_pattern_48,0,2,0,0
50,AR,Low,109,32,75,25-34,Female,Desktop,6.802759597776282,11.518109495099708,19.875071658873644,frame_sequence_49,movement_pattern_49,1,1,1,2
51,2D,High,160,2,63,35-44,Female,Mobile,5.786173228800175,0.6222283375928237,16.49528526928396,frame_sequence_50,movement_pattern_50,2,3,0,0
52,3D,High,80,47,72,18-24,Female,Mobile,5.63717707963756,5.271619968601956,21.14847326107496,frame_sequence_51,movement_pattern_51,0,1,0,1
53,2D,High,50,34,74,25-34,Female,Mobile,5.824502577768868,5.425759387208085,21.883643096200192,frame_sequence_52,movement_pattern_52,1,2,0,0
54,2D,High,29,29,73,25-34,Female,Desktop,6.605625164486273,0.7375431968650742,22.578944864599027,frame_sequence_53,movement_pattern_53,1,1,0,0
55,AR,Medium,252,7,60,25-34,Female,Mobile,5.716563157527986,0.9156748440845682,18.64004965804927,frame_sequence_54,movement_pattern_54,1,0,2,2
56,AR,High,119,8,88,35-44,Male,Mobile,5.942000047463683,2.9680242902130325,22.472895136587944,frame_sequence_55,movement_pattern_55,2,1,0,2
57,AR,Medium,303,11,85,18-24,Male,Mobile,5.326006101132092,1.57606809905216,19.271808533929867,frame_sequence_56,movement_pattern_56,0,0,2,2
58,3D,Medium,60,13,78,25-34,Male,Tablet,5.2219081697869765,0.5624805761132143,18.05445566280052,frame_sequence_57,movement_pattern_57,1,2,2,1
59,3D,Low,109,52,70,18-24,Male,Mobile,6.297802931237261,1.02135854852699,18.362437189638385,frame_sequence_58,movement_pattern_58,0,3,1,1
60,2D,Medium,91,12,70,18-24,Male,Mobile,5.9446536583419425,1.6278580131506828,20.90935517791367,frame_sequence_59,movement_pattern_59,0,2,2,0
61,2D,High,85,40,84,25-34,Female,Mobile,5.414007237672612,4.559030909821081,17.918219725883617,frame_sequence_60,movement_pattern_60,1,1,0,0
62,2D,High,129,46,69,25-34,Male,Mobile,5.480429929132788,0.5062654794377034,20.364128569280474,frame_sequence_61,movement_pattern_61,1,2,0,0
63,3D,Medium,119,49,63,25-34,Female,Desktop,5.885425500434144,1.5101934700141646,25.385519019604125,frame_sequence_62,movement_pattern_62,1,3,2,1
64,3D,Medium,144,52,72,35-44,Male,Mobile,6.376335694507775,0.7244468482686217,20.16500000364386,frame_sequence_63,movement_pattern_63,2,0,2,1
65,AR,Medium,216,12,72,35-44,Male,Mobile,5.702445352755177,2.1330476483045424,19.1782704895166,frame_sequence_64,movement_pattern_64,2,4,2,2
66,3D,High,290,47,74,18-24,Male,Desktop,5.583547143705607,0.1924451667904348,23.64769513628088,frame_sequence_65,movement_pattern_65,0,1,0,1
67,2D,High,144,1,62,18-24,Female,Mobile,6.7888407486336755,3.5958442357806106,20.717757658320934,frame_sequence_66,movement_pattern_66,0,4,0,0
68,AR,Medium,77,6,92,55+,Male,Desktop,6.1671549579824685,0.7861559831835394,20.914761750913755,frame_sequence_67,movement_pattern_67,4,2,2,2
69,2D,Low,121,16,84,25-34,Female,Mobile,5.274566896521137,1.4297128940023278,17.476194945184034,frame_sequence_68,movement_pattern_68,1,1,1,0
70,AR,Medium,120,20,77,18-24,Female,Mobile,6.39940598704816,6.103013748284402,24.560509723190172,frame_sequence_69,movement_pattern_69,0,1,2,2
71,AR,Medium,315,31,78,25-34,Male,Mobile,6.6271534004189725,1.1815264265152325,21.322405165555843,frame_sequence_70,movement_pattern_70,1,2,2,2
72,2D,High,128,68,95,18-24,Male,Mobile,5.85221777025521,0.3653526438001134,20.290540040664908,frame_sequence_71,movement_pattern_71,0,1,0,0
73,2D,Medium,106,14,77,25-34,Male,Desktop,6.297650002237939,4.376551698610495,19.710417369330393,frame_sequence_72,movement_pattern_72,1,1,2,0
74,AR,Low,292,23,79,35-44,Male,Desktop,6.185240336752803,6.250380431262233,20.107881472224896,frame_sequence_73,movement_pattern_73,2,1,1,2
75,3D,High,100,29,71,18-24,Male,Desktop,5.460582767138772,0.5517442546402016,23.740510002895014,frame_sequence_74,movement_pattern_74,0,2,0,1
76,3D,Medium,48,6,66,25-34,Male,Mobile,6.343908240425838,3.4220836976546125,23.17053481060426,frame_sequence_75,movement_pattern_75,1,3,2,1
77,AR,High,148,73,76,18-24,Male,Mobile,6.5079555884428295,1.2396287247046296,19.29478422373075,frame_sequence_76,movement_pattern_76,0,4,0,2
78,AR,Low,92,22,69,25-34,Female,Desktop,6.029675082642154,1.2754080646449113,20.386312833114008,frame_sequence_77,movement_pattern_77,1,1,1,2
79,AR,Low,63,48,61,35-44,Male,Desktop,5.665192286682217,3.2723196364226186,15.675260189835928,frame_sequence_78,movement_pattern_78,2,4,1,2
80,3D,Low,80,41,71,25-34,Male,Desktop,5.856216450563686,1.4589824421699495,18.315812536594585,frame_sequence_79,movement_pattern_79,1,4,1,1
81,2D,High,175,33,86,25-34,Female,Desktop,6.260252590578898,2.6010330668040282,22.669643860212304,frame_sequence_80,movement_pattern_80,1,1,0,0
82,AR,High,173,9,79,25-34,Male,Mobile,5.594297407729112,2.8779548603589595,17.893450455394362,frame_sequence_81,movement_pattern_81,1,3,0,2
83,3D,Medium,50,12,68,18-24,Male,Desktop,5.789572801686035,2.5439419035478568,20.977636305153865,frame_sequence_82,movement_pattern_82,0,4,2,1
84,2D,Medium,187,38,72,45-54,Female,Tablet,6.019452388877441,1.7604952774040923,19.919467780640577,frame_sequence_83,movement_pattern_83,3,4,2,0
85,2D,Medium,174,29,70,25-34,Female,Mobile,5.368216190863913,2.9827206158123407,18.693274242645558,frame_sequence_84,movement_pattern_84,1,3,2,0
86,2D,Low,252,49,93,25-34,Male,Desktop,5.608060394618483,0.9501028451957968,21.09366551926541,frame_sequence_85,movement_pattern_85,1,1,1,0
87,AR,High,158,5,79,45-54,Female,Desktop,5.753005922757571,2.9628901203410245,22.16165998471071,frame_sequence_86,movement_pattern_86,3,0,0,2
88,2D,Medium,128,7,69,18-24,Male,Mobile,7.1422468318718915,2.2034188502805363,20.66917792247939,frame_sequence_87,movement_pattern_87,0,1,2,0
89,AR,Medium,171,74,82,35-44,Female,Mobile,6.7384211760690444,0.6888959302057202,22.243412789109197,frame_sequence_88,movement_pattern_88,2,0,2,2
90,3D,Low,148,35,83,18-24,Female,Desktop,5.688645928190242,3.650587316369658,19.460949937240617,frame_sequence_89,movement_pattern_89,0,3,1,1
91,2D,Low,97,27,66,25-34,Female,Mobile,5.422717797619232,0.44361883617191655,20.080872823622148,frame_sequence_90,movement_pattern_90,1,2,1,0
92,2D,High,141,4,80,55+,Female,Desktop,6.44636360914477,1.5090300991226406,17.975276703719985,frame_sequence_91,movement_pattern_91,4,4,0,0
93,3D,Medium,136,54,79,55+,Male,Mobile,5.735569774492452,0.545771239336407,16.349995704551517,frame_sequence_92,movement_pattern_92,4,2,2,1
94,2D,Medium,226,22,76,35-44,Male,Mobile,6.267218445168002,1.8141712266688,17.390005098146418,frame_sequence_93,movement_pattern_93,2,0,2,0
95,3D,Medium,235,54,75,45-54,Female,Tablet,5.826657421443053,1.8977022519917126,23.644607797820704,frame_sequence_94,movement_pattern_94,3,3,2,1
96,3D,Low,157,34,60,18-24,Male,Desktop,5.980363230920377,3.034696036395945,19.399182634413336,frame_sequence_95,movement_pattern_95,0,1,1,1
97,AR,Medium,111,16,82,18-24,Male,Tablet,5.736043452770085,3.6900443253942887,16.514200420810756,frame_sequence_96,movement_pattern_96,0,2,2,2
98,2D,Low,91,79,64,18-24,Male,Mobile,6.3862527053088165,4.606562863790358,21.500256724773323,frame_sequence_97,movement_pattern_97,0,1,1,0
99,2D,Medium,84,32,78,45-54,Female,Mobile,6.692923044010618,4.4251648324118795,19.34493012801564,frame_sequence_98,movement_pattern_98,3,4,2,0
100,2D,Low,62,29,81,18-24,Male,Mobile,5.451602952391547,2.086062687865716,19.312536909383603,frame_sequence_99,movement_pattern_99,0,0,1,0
101,3D,High,156,58,88,55+,Female,Desktop,5.823326174927797,1.540295655104781,16.512659196237223,frame_sequence_100,movement_pattern_100,4,0,0,1
102,AR,High,201,16,72,55+,Male,Desktop,6.447659375260672,0.41340749272668553,19.743903041493553,frame_sequence_101,movement_pattern_101,4,0,0,2
103,2D,Medium,75,18,81,45-54,Female,Mobile,5.5321207660409515,3.874107405583312,21.346434671642474,frame_sequence_102,movement_pattern_102,3,0,2,0
104,AR,Medium,82,14,63,55+,Male,Tablet,5.59691040580955,5.617741325595385,22.614045718035165,frame_sequence_103,movement_pattern_103,4,4,2,2
105,AR,Low,120,20,83,45-54,Male,Mobile,5.8413325675010395,1.7552084812723752,20.855664712602646,frame_sequence_104,movement_pattern_104,3,0,1,2
106,3D,Low,127,38,75,25-34,Female,Desktop,5.379251757415307,0.23675023870003636,17.661077286620714,frame_sequence_105,movement_pattern_105,1,4,1,1
107,2D,Low,178,17,69,25-34,Male,Desktop,5.535863608201169,0.5940860261747394,22.00992372407749,frame_sequence_106,movement_pattern_106,1,1,1,0
108,3D,Low,276,38,70,55+,Male,Desktop,6.074177296063041,0.39913411772955903,19.930483609821152,frame_sequence_107,movement_pattern_107,4,4,1,1
109,AR,High,40,58,81,25-34,Male,Mobile,5.629694140198858,1.1344802918995054,20.742016211618417,frame_sequence_108,movement_pattern_108,1,1,0,2
110,2D,Low,137,10,79,25-34,Male,Mobile,6.64604729268761,0.1804864008794583,22.438573787878315,frame_sequence_109,movement_pattern_109,1,3,1,0
111,AR,Medium,71,58,68,25-34,Male,Mobile,5.675861329009528,0.3306236055805284,17.405732545540268,frame_sequence_110,movement_pattern_110,1,2,2,2
112,2D,High,124,48,76,35-44,Male,Desktop,6.2010474166274,2.229256736659987,22.063055261696217,frame_sequence_111,movement_pattern_111,2,4,0,0
113,2D,Low,76,18,71,18-24,Male,Tablet,5.821812750683397,3.3274356582776394,18.208541167414552,frame_sequence_112,movement_pattern_112,0,4,1,0
114,2D,Medium,122,44,74,55+,Male,Desktop,6.019801501421409,2.28163017003289,22.07271424232472,frame_sequence_113,movement_pattern_113,4,4,2,0
115,AR,Low,83,22,76,25-34,Female,Tablet,5.602308019476884,0.5944038733064948,22.840278394947674,frame_sequence_114,movement_pattern_114,1,3,1,2
116,3D,Medium,315,30,70,18-24,Male,Mobile,5.226937479668171,1.0540980290361126,17.52245468993324,frame_sequence_115,movement_pattern_115,0,3,2,1
117,3D,Low,90,20,83,35-44,Male,Desktop,5.786555404412044,1.9165805435748222,23.17529008567748,frame_sequence_116,movement_pattern_116,2,0,1,1
118,3D,High,133,55,85,35-44,Male,Mobile,5.891995063444132,4.288515001877244,23.359360670942596,frame_sequence_117,movement_pattern_117,2,0,0,1
119,3D,Medium,236,10,69,18-24,Male,Tablet,5.77626061169212,9.821339365114406,19.122555007744104,frame_sequence_118,movement_pattern_118,0,3,2,1
120,2D,Low,315,17,73,25-34,Male,Mobile,5.9952118259487985,2.1416742185243325,21.548600446889402,frame_sequence_119,movement_pattern_119,1,4,1,0
121,3D,High,123,64,82,45-54,Male,Tablet,5.633492286966816,3.6210356174485083,17.914726146258634,frame_sequence_120,movement_pattern_120,3,4,0,1
122,AR,High,52,18,83,45-54,Male,Desktop,5.540248734708313,3.867338222972125,20.353876872984987,frame_sequence_121,movement_pattern_121,3,3,0,2
123,3D,Low,116,40,83,35-44,Female,Mobile,5.448296069345882,5.637813053264073,18.26540056040121,frame_sequence_122,movement_pattern_122,2,2,1,1
124,AR,Low,157,19,76,45-54,Female,Desktop,5.744755625679667,2.5554191303987226,17.6305620802415,frame_sequence_123,movement_pattern_123,3,1,1,2
125,AR,High,138,18,73,45-54,Male,Tablet,6.174782379744316,1.5139970232403288,16.932575239733065,frame_sequence_124,movement_pattern_124,3,0,0,2
126,2D,Medium,315,32,79,35-44,Female,Mobile,5.737217238796152,0.8965711624206882,17.825835823637338,frame_sequence_125,movement_pattern_125,2,1,2,0
127,2D,High,129,21,74,45-54,Female,Mobile,7.05437658052944,1.0806694536967076,21.0822700441834,frame_sequence_126,movement_pattern_126,3,4,0,0
128,AR,Low,116,15,83,45-54,Female,Mobile,5.511758192792626,0.46047489974891576,20.55390752823951,frame_sequence_127,movement_pattern_127,3,3,1,2
129,2D,Low,55,19,83,18-24,Male,Mobile,5.88732009842271,0.48874451159742743,16.333314321622506,frame_sequence_128,movement_pattern_128,0,4,1,0
130,2D,Low,79,13,86,35-44,Female,Mobile,5.617723770791183,0.78486111613428,23.245586919601536,frame_sequence_129,movement_pattern_129,2,2,1,0
131,2D,High,125,42,68,25-34,Female,Mobile,5.548036061984681,0.43416432920209075,19.483392734092455,frame_sequence_130,movement_pattern_130,1,2,0,0
132,3D,Medium,101,35,89,25-34,Male,Desktop,6.917964041485455,5.0140451754288335,22.269934167987522,frame_sequence_131,movement_pattern_131,1,1,2,1
133,2D,High,102,24,77,35-44,Male,Mobile,6.354505258257016,1.7003032127592566,22.488619712346384,frame_sequence_132,movement_pattern_132,2,3,0,0
134,2D,Low,315,28,90,35-44,Female,Tablet,5.212235847447703,1.1350626568347706,22.384877730723524,frame_sequence_133,movement_pattern_133,2,2,1,0
135,2D,High,281,12,80,45-54,Female,Mobile,6.0389246659148235,1.95080800683043,17.169831726278446,frame_sequence_134,movement_pattern_134,3,0,0,0
136,3D,Low,169,57,86,25-34,Female,Mobile,5.437892647995118,0.3708407656868868,17.42321772492038,frame_sequence_135,movement_pattern_135,1,3,1,1
137,2D,Medium,125,41,74,35-44,Female,Tablet,6.171890483881141,0.9480796429347894,19.564505543013773,frame_sequence_136,movement_pattern_136,2,0,2,0
138,2D,Medium,38,23,79,45-54,Male,Mobile,6.07401083304795,2.1657601229016192,20.783221699001317,frame_sequence_137,movement_pattern_137,3,3,2,0
139,3D,Medium,181,13,90,55+,Female,Desktop,5.9303922340345405,1.5827870361355043,20.30555619952811,frame_sequence_138,movement_pattern_138,4,2,2,1
140,2D,Medium,287,30,76,35-44,Male,Mobile,6.115596387391826,3.875409025325339,20.660143997514044,frame_sequence_139,movement_pattern_139,2,3,2,0
141,3D,Medium,287,34,77,25-34,Female,Mobile,5.894008066736138,4.01582199030623,22.967814653625133,frame_sequence_140,movement_pattern_140,1,4,2,1
142,2D,Low,161,22,78,25-34,Male,Desktop,5.959375501871998,0.7039574359506447,22.326868619594823,frame_sequence_141,movement_pattern_141,1,2,1,0
143,AR,Medium,116,6,79,55+,Female,Desktop,5.704889772588901,4.673339750497233,20.51372399778247,frame_sequence_142,movement_pattern_142,4,0,2,2
144,AR,Medium,89,49,66,35-44,Male,Desktop,5.636149338323873,8.283668622290488,21.1496464943226,frame_sequence_143,movement_pattern_143,2,2,2,2
145,2D,Low,247,24,78,25-34,Female,Desktop,5.734236199620578,2.345238895151418,21.887550748291147,frame_sequence_144,movement_pattern_144,1,1,1,0
146,2D,Medium,315,45,79,35-44,Female,Mobile,5.851634350972683,3.3057881504757134,18.587139676678316,frame_sequence_145,movement_pattern_145,2,4,2,0
147,3D,High,96,13,87,18-24,Female,Desktop,6.215447834063788,1.1342439686838528,17.983303968741133,frame_sequence_146,movement_pattern_146,0,1,0,1
148,3D,Low,113,41,72,18-24,Female,Mobile,5.76330491863171,0.24054482410968767,17.70247434930763,frame_sequence_147,movement_pattern_147,0,2,1,1
149,3D,Low,59,26,90,35-44,Female,Mobile,6.108636338793356,0.5890875909725339,18.201507576120754,frame_sequence_148,movement_pattern_148,2,1,1,1
150,2D,Low,193,18,80,25-34,Male,Tablet,5.588983439128558,3.665917353221082,19.652121497998433,frame_sequence_149,movement_pattern_149,1,0,1,0
151,AR,Low,132,19,80,18-24,Male,Mobile,5.960521063824021,4.944416662144438,21.72275266752974,frame_sequence_150,movement_pattern_150,0,2,1,2
152,2D,High,110,18,78,45-54,Male,Mobile,6.422787673097233,0.6830996331215944,22.070684009079066,frame_sequence_151,movement_pattern_151,3,2,0,0
153,3D,Medium,76,46,82,55+,Female,Mobile,5.836550943464065,4.834989986483798,17.424816094030145,frame_sequence_152,movement_pattern_152,4,3,2,1
154,AR,Low,140,9,84,45-54,Male,Mobile,5.442726199946433,4.436550264429181,18.275290096229178,frame_sequence_153,movement_pattern_153,3,4,1,2
155,2D,Medium,143,16,89,25-34,Male,Desktop,5.905234762766261,2.5988501401437487,20.03030979778652,frame_sequence_154,movement_pattern_154,1,1,2,0
156,3D,Low,126,16,65,35-44,Male,Desktop,6.022864130355972,0.3217810002161836,20.67199938232394,frame_sequence_155,movement_pattern_155,2,1,1,1
157,3D,Low,197,49,92,25-34,Female,Mobile,5.225449759925853,3.075132217130168,20.28059024526955,frame_sequence_156,movement_pattern_156,1,2,1,1
158,2D,Medium,85,16,80,18-24,Male,Tablet,5.77526504496439,2.895711629570983,18.24536019356769,frame_sequence_157,movement_pattern_157,0,3,2,0
159,AR,Medium,214,47,80,35-44,Male,Mobile,5.875834536941717,6.284043679549073,21.5564539176903,frame_sequence_158,movement_pattern_158,2,4,2,2
160,3D,Low,290,22,86,45-54,Male,Mobile,6.047390323188055,0.5045193278488472,22.013763366787373,frame_sequence_159,movement_pattern_159,3,4,1,1
161,2D,Medium,81,4,71,45-54,Male,Tablet,5.726000718322268,3.3261717923461034,19.879757030296624,frame_sequence_160,movement_pattern_160,3,1,2,0
162,AR,Low,54,9,76,55+,Male,Mobile,5.584500653588796,2.789313800089303,16.97699172211944,frame_sequence_161,movement_pattern_161,4,2,1,2
163,2D,Low,82,35,70,25-34,Female,Mobile,5.964610076297806,2.6753589543336234,21.966297631823682,frame_sequence_162,movement_pattern_162,1,3,1,0
164,AR,High,224,15,79,55+,Female,Mobile,5.8996436229531355,4.166267002250371,20.889373843811725,frame_sequence_163,movement_pattern_163,4,3,0,2
165,3D,Low,65,59,79,45-54,Male,Desktop,5.4374198634682145,0.5948229543170347,19.248137291459194,frame_sequence_164,movement_pattern_164,3,0,1,1
166,2D,High,69,44,73,25-34,Female,Mobile,5.713703478645977,2.096829235431125,22.552934190318314,frame_sequence_165,movement_pattern_165,1,4,0,0
167,AR,Medium,143,18,79,18-24,Female,Mobile,6.554606699179305,3.146351695888012,20.34278766566458,frame_sequence_166,movement_pattern_166,0,2,2,2
168,AR,Low,235,26,80,18-24,Male,Mobile,5.986115401950929,2.6114234797771134,20.789772234606946,frame_sequence_167,movement_pattern_167,0,2,1,2
169,2D,Medium,67,22,70,35-44,Male,Desktop,5.570917654353691,0.5165193996948151,18.7090707691711,frame_sequence_168,movement_pattern_168,2,3,2,0
170,2D,Medium,45,8,72,25-34,Male,Desktop,5.475102347740737,1.2980580912652795,18.04366485188516,frame_sequence_169,movement_pattern_169,1,2,2,0
171,2D,Medium,106,43,73,55+,Female,Mobile,5.900857523451343,0.9412024281133727,22.552557022934074,frame_sequence_170,movement_pattern_170,4,3,2,0
172,2D,Medium,219,24,60,35-44,Female,Mobile,5.776074485501231,1.2500318813613627,17.6741104449662,frame_sequence_171,movement_pattern_171,2,3,2,0
173,3D,High,81,3,68,18-24,Male,Mobile,5.756731927059281,0.0036066347421706696,19.446741550479633,frame_sequence_172,movement_pattern_172,0,0,0,1
174,2D,High,108,38,74,25-34,Male,Mobile,6.114302093157541,2.9683028470315582,17.597958531522167,frame_sequence_173,movement_pattern_173,1,4,0,0
175,3D,High,95,36,79,25-34,Female,Mobile,5.405886844282995,0.9565386705866618,20.428720608070822,frame_sequence_174,movement_pattern_174,1,0,0,1
176,3D,Low,253,46,76,18-24,Male,Mobile,6.494098842116614,1.1799671196144956,18.746005741271357,frame_sequence_175,movement_pattern_175,0,2,1,1
177,AR,Medium,56,11,75,18-24,Male,Desktop,5.847298224740566,0.710587839529889,19.55014658535523,frame_sequence_176,movement_pattern_176,0,4,2,2
178,3D,Medium,93,18,85,18-24,Female,Mobile,5.75144975282348,1.6525095271565835,19.963177982457566,frame_sequence_177,movement_pattern_177,0,0,2,1
